"system_id","display_name","source_group","model_name","method_variant","eval_split","primary_metric_name","primary_metric_value","precision","recall","f1","exact_match_f1","event_f1","arg_f1","relaxed_f1","type_f1","parse_error_rate","hallucination_rate","schema_compliance_rate","schema_violation_rate","bootstrap_ci_lower","bootstrap_ci_upper","token_usage_prompt","token_usage_completion","token_usage_total","api_cost_or_stats","summary_file","metrics_file","comparability_level","missing_fields","notes"
"academic_full_local","full","academic","./models/Qwen/Qwen3-4B-Instruct-2507","lora_finetuned_full","dev","strict_f1","0.3756","0.423","0.3376","0.3756","0.3756","NA","NA","0.5387","0.8475","0.0094","0.205","0.7455","NA","NA","NA","NA","NA","NA","NA","logs/DuEE-Fin/eval_academic/20260305_130645_dev/eval_results_dev_seed3047_summary.json","logs/DuEE-Fin/eval_academic/20260305_130645_dev/eval_results_dev_seed3047_metrics.json","directly_comparable","api_cost_or_stats|arg_f1|bootstrap_ci_lower|bootstrap_ci_upper|event_f1|schema_violation_rate|token_usage_completion|token_usage_prompt|token_usage_total","Core metrics come from summary.metrics; parse_error_rate comes from metrics.json parse_statistics.parse_error_rate; academic_summary.md matches displayed strict/relaxed/type/hallucination/schema values."
"academic_no_scv_local","no_scv","academic","./models/Qwen/Qwen3-4B-Instruct-2507","lora_finetuned_no_scv","dev","strict_f1","0.3782","0.4232","0.3419","0.3782","0.3782","NA","NA","0.5406","0.8525","0.0068","0.1913","0.7276","NA","NA","NA","NA","NA","NA","NA","logs/DuEE-Fin/eval_academic/20260311_163743_dev/eval_results_dev_seed3047_summary.json","logs/DuEE-Fin/eval_academic/20260311_163743_dev/eval_results_dev_seed3047_metrics.json","directly_comparable","api_cost_or_stats|arg_f1|bootstrap_ci_lower|bootstrap_ci_upper|event_f1|schema_violation_rate|token_usage_completion|token_usage_prompt|token_usage_total","Core metrics come from summary.metrics; parse_error_rate comes from metrics.json parse_statistics.parse_error_rate; academic_summary.md matches displayed strict/relaxed/type/hallucination/schema values."
"base_qwen4b_local","base_qwen4b","base","./models/Qwen/Qwen3-4B-Instruct-2507","base_only_local_qwen3_4b","dev","strict_f1","0.3649","0.3948","0.3392","0.3649","0.3649","NA","NA","0.528","0.8598","0.0068","0.2357","0.6541","NA","NA","NA","NA","NA","NA","NA","logs/DuEE-Fin/eval_base/20260222_210712_base_model_dev/eval_results_summary.json","logs/DuEE-Fin/eval_base/20260222_210712_base_model_dev/eval_results_metrics.json","directly_comparable","api_cost_or_stats|arg_f1|bootstrap_ci_lower|bootstrap_ci_upper|event_f1|schema_violation_rate|token_usage_completion|token_usage_prompt|token_usage_total","Core metrics come from summary.metrics; parse_error_rate comes from metrics.json parse_statistics.parse_error_rate; no separate academic_summary wrapper exists for this run."
"api_zeroshot_deepseek_chat","api_zeroshot","api","deepseek-chat","api_deepseek_chat_zeroshot","dev","strict_f1","0.463609786120942","0.505197853789403","0.428348023883992","0.463609786120942","0.463609786120942","NA","NA","0.665143648321218","0.875579924082665","0","0.107600341588386","0.948761742100769","NA","0.448645809888214","0.477361907636583","1747572","758880","2506452","failed_calls=0; failed_call_rate=0","logs/DuEE-Fin/eval_api/20260314_121602_dev_seed3407_zeroshot_deepseek-chat_p1838808/eval_summary.json","NA","directly_comparable","arg_f1|event_f1|metrics_file|schema_violation_rate","Core metrics, strict_f1 bootstrap CI, token usage, and api stats all come from eval_summary.json; eval_report.txt matches the displayed strict/relaxed/type/hallucination/schema values."
"api_fewshot_deepseek_chat","api_fewshot","api","deepseek-chat","api_deepseek_chat_fewshot","dev","strict_f1","0.466842336407554","0.481140615570308","0.453369348876884","0.466842336407554","0.466842336407554","NA","NA","0.656856275570806","0.86992203528929","0","0.147736976942784","0.840307429547395","NA","0.453735632183908","0.479951944736447","3296805","448095","3744900","failed_calls=0; failed_call_rate=0","logs/DuEE-Fin/eval_api/20260314_121753_dev_seed3407_fewshot_deepseek-chat_p1839514/eval_summary.json","NA","directly_comparable","arg_f1|event_f1|metrics_file|schema_violation_rate","Core metrics, strict_f1 bootstrap CI, token usage, and api stats all come from eval_summary.json; eval_report.txt matches the displayed strict/relaxed/type/hallucination/schema values."
